2015-12-20 02:17:09,489 - application - DEBUG - choixPos sur nEquipe = 1
2015-12-20 02:17:09,489 - application - INFO - ChoixPos : input (-1,1)
2015-12-20 02:17:09,489 - application - INFO - ChoixPos : (-1,1) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,2)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (1,2)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (1,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,2)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: position déjà occupée
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,7)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (1,7)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,12)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (1,12) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,-1)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (1,-1) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,8)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (1,8) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (2,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (2,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (2,3)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (2,3)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (2,4)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (2,4)
2015-12-20 02:17:09,505 - application - DEBUG - choixPos sur nEquipe = 2
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (-1,1)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (-1,1) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,2)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (1,2) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (1,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (1,0) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (2,4)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (2,4) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (11,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (11,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (11,8)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (11,8) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (11,7)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (11,7)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (10,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (10,0)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (10,6)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (10,6)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (10,5)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (10,5)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (20,3)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : (20,3) hors limite
2015-12-20 02:17:09,505 - application - INFO - ChoixPos : input (10,7)
2015-12-20 02:17:09,505 - application - INFO - ChoixPos: append de (10,7)
